# Experiment File Name : 20170726_Burnham_LoCal_Run1.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2017-09-19 12:14:20 PM
# Instrument Type : StepOnePlus System

"Experiment Name","Barcode","Well","Target Name","Sample Name","Rn","dRn","Omit","Cycle Number","Passive Ref",
"20170726_Burnham_LoCal_Run1.eds","","A1","DWV","1","0.123","0.005","false","1.0","51278.926",
"20170726_Burnham_LoCal_Run1.eds","","A1","DWV","1","0.121","0.005","false","2.0","51072.227",
"20170726_Burnham_LoCal_Run1.eds","","A1","DWV","1","0.115","0.001","false","3.0","50324.3",
"20170726_Burnham_LoCal_Run1.eds","","A1","DWV","1","0.112","0.0","false","4.0","49874.53",
"20170726_Burnham_LoCal_Run1.eds","","A1","DWV","1","0.109","-0.001","false","5.0","49620.7",
"20170726_Burnham_LoCal_Run1.eds","","A1","DWV","1","0.107","-0.001","false","6.0","49169.79",
"20170726_Burnham_LoCal_Run1.eds","","A1","DWV","1","0.105","-0.001","false","7.0","49074.863",
"20170726_Burnham_LoCal_Run1.eds","","A1","DWV","1","0.103","-0.001","false","8.0","48902.625",
"20170726_Burnham_LoCal_Run1.eds","","A1","DWV","1","0.104","0.002","false","9.0","48897.426",
"20170726_Burnham_LoCal_Run1.eds","","A1","DWV","1","0.105","0.005","false","10.0","48743.117",
"20170726_Burnham_LoCal_Run1.eds","","A1","DWV","1","0.111","0.013","false","11.0","48756.36",
"20170726_Burnham_LoCal_Run1.eds","","A1","DWV","1","0.124","0.028","false","12.0","48688.312",
"20170726_Burnham_LoCal_Run1.eds","","A1","DWV","1","0.151","0.057","false","13.0","48592.48",
"20170726_Burnham_LoCal_Run1.eds","","A1","DWV","1","0.202","0.111","false","14.0","48531.64",
"20170726_Burnham_LoCal_Run1.eds","","A1","DWV","1","0.303","0.213","false","15.0","48567.2",
"20170726_Burnham_LoCal_Run1.eds","","A1","DWV","1","0.475","0.387","false","16.0","48360.582",
"20170726_Burnham_LoCal_Run1.eds","","A1","DWV","1","0.729","0.644","false","17.0","48347.906",
"20170726_Burnham_LoCal_Run1.eds","","A1","DWV","1","0.988","0.904","false","18.0","48120.473",
