# Experiment File Name : 20170731_Burnham_LoCal_Run4.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2017-09-19 12:14:16 PM
# Instrument Type : StepOnePlus System

"Experiment Name","Barcode","Well","Target Name","Sample Name","Rn","dRn","Omit","Cycle Number","Passive Ref",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.111","0.006","false","1.0","50786.348",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.111","0.008","false","2.0","50707.72",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.106","0.004","false","3.0","50210.652",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.101","0.001","false","4.0","49958.81",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.099","0.0","false","5.0","49822.355",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.097","0.0","false","6.0","49709.418",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.094","0.0","false","7.0","49642.727",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.093","0.0","false","8.0","49618.156",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.091","-0.001","false","9.0","49603.53",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.089","-0.001","false","10.0","49642.652",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.087","0.0","false","11.0","49768.41",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.085","-0.001","false","12.0","49578.113",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.083","-0.001","false","13.0","49690.26",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.082","-0.001","false","14.0","49571.28",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.079","-0.001","false","15.0","49450.383",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.078","-0.001","false","16.0","49557.87",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.076","-0.001","false","17.0","49370.87",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.074","-0.001","false","18.0","49319.953",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.072","-0.001","false","19.0","49259.04",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.071","-0.001","false","20.0","49179.004",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.069","0.0","false","21.0","49289.703",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.069","0.001","false","22.0","49284.348",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.068","0.002","false","23.0","49306.355",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.069","0.004","false","24.0","49352.625",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.071","0.008","false","25.0","49116.418",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.078","0.017","false","26.0","49302.125",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.091","0.032","false","27.0","49186.8",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.12","0.062","false","28.0","49138.97",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.175","0.12","false","29.0","49191.203",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.279","0.225","false","30.0","49275.83",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.46","0.408","false","31.0","48978.3",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.717","0.667","false","32.0","48884.383",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","0.976","0.927","false","33.0","48746.07",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","1.193","1.146","false","34.0","48616.125",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","1.383","1.338","false","35.0","48479.684",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","1.553","1.51","false","36.0","48409.887",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","1.698","1.656","false","37.0","48401.51",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","1.821","1.781","false","38.0","47981.625",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","1.923","1.885","false","39.0","47943.84",
"20170731_Burnham_LoCal_Run4.eds","","A1","DWV","35","2.006","1.97","false","40.0","47791.156",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","0.113","0.008","false","1.0","53675.387",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","0.11","0.007","false","2.0","53218.066",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","0.102","0.002","false","3.0","52284.88",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","0.097","0.0","false","4.0","51897.227",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","0.094","-0.001","false","5.0","51715.1",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","0.091","-0.001","false","6.0","51558.69",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","0.088","-0.002","false","7.0","51365.004",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","0.086","-0.001","false","8.0","51229.97",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","0.084","0.0","false","9.0","51216.86",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","0.084","0.002","false","10.0","51211.92",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","0.086","0.007","false","11.0","51165.15",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","0.092","0.016","false","12.0","50997.95",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","0.107","0.033","false","13.0","51017.074",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","0.136","0.065","false","14.0","50819.145",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","0.196","0.127","false","15.0","50744.016",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","0.307","0.24","false","16.0","50805.367",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","0.502","0.438","false","17.0","50616.965",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","0.777","0.716","false","18.0","50311.414",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","1.053","0.995","false","19.0","49932.438",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","1.286","1.23","false","20.0","49712.08",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","1.494","1.44","false","21.0","49514.586",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","1.696","1.645","false","22.0","49242.266",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","1.868","1.82","false","23.0","48960.3",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","2.0","1.954","false","24.0","48660.355",
"20170731_Burnham_LoCal_Run4.eds","","A2","DWV","36","2.113","2.07","false","25.0","48397.266",
